,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
11954,2020-06-17,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.3594102693,-105.85570469870001,Colorado,Alces alces,Moose,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11955,2020-06-13,"Grand Teton National Park, Jackson, WY, US",43.76046167,-110.74455333,Wyoming,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11956,2019-10-04,"Joshua Tree National Park, Desert Hot Springs, CA, US",33.92668,-115.906205,California,Lepus californicus,Black-tailed Jackrabbit,Mammalia,Joshua Tree National Park,CA,Joshua Tree ,Joshua Tree NP
11957,2019-11-03,"Channel Islands National Park, Channel Islands, Santa Barbara County, UCNRS, US-CA, US",33.902684070700005,-119.7762736744,California,Urocyon littoralis santacruzae,Santa Cruz Island Fox,Mammalia,Channel Islands National Park,CA,Channel Islands ,Channel Islands NP
11958,2020-06-17,"Yosemite National Park, Yosemite National Park, CA, US",37.69913833,-119.58648667,California,Canis latrans,Coyote,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11959,2020-06-18,"Yosemite National Park, Yosemite National Park, CA, US",37.7216919166,-119.63446395620001,California,Ursus americanus,American Black Bear,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11960,2020-06-18,"Great Smoky Mountains National Park, Gatlinburg, TN, US",35.63905333,-83.43871999999999,Tennessee,Tamiasciurus hudsonicus,American Red Squirrel,Mammalia,Great Smoky Mountains National Park,TN,Great Smoky Mountains ,Great Smoky Mountains NP
11961,2020-06-18,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.44096098,-105.75577908,Colorado,Cervus canadensis,Wapiti,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11962,2020-06-18,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.39585515,-105.71356929,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11963,2020-06-18,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.39583637,-105.71358341,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11964,2020-06-18,"Pinnacles National Park, Paicines, CA, US",36.4863109975,-121.1539171482,California,Sylvilagus audubonii,Desert Cottontail,Mammalia,Pinnacles National Park,CA,Pinnacles ,Pinnacles NP
11965,2020-06-18,"Joshua Tree National Park, Desert Hot Springs, CA, US",34.01128055,-116.16790833,California,Sylvilagus audubonii,Desert Cottontail,Mammalia,Joshua Tree National Park,CA,Joshua Tree ,Joshua Tree NP
11966,2020-06-17,"Rocky Mountain National Park, Estes Park, CO, US",40.36578,-105.58528000000001,Colorado,Odocoileus hemionus,Mule Deer,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11967,2020-06-18,"Joshua Tree National Park, Desert Hot Springs, CA, US",34.010475,-116.16874667,California,Sylvilagus audubonii,Desert Cottontail,Mammalia,Joshua Tree National Park,CA,Joshua Tree ,Joshua Tree NP
11968,2020-06-17,"Redwood National and State Parks, Trinidad, CA, US",41.3401253228,-124.0390163784,California,Cervus canadensis,Wapiti,Mammalia,Redwood National Park,CA,Redwood ,Redwood NP
11969,2020-06-18,"Glacier National Park, Essex, MT, US",48.663773291999995,-113.7898743841,Montana,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
11970,2020-06-16,"Badlands National Park, Wall, SD, US",43.87242833,-102.244675,South Dakota,Ovis canadensis,Bighorn Sheep,Mammalia,Badlands National Park,SD,Badlands ,Badlands NP
11971,2020-06-13,"Grand Teton National Park, Jackson, WY, US",43.76317,-110.77915333,Wyoming,Alces alces,Moose,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11972,2020-06-13,"Grand Teton National Park, Jackson, WY, US",43.763455,-110.76303,Wyoming,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11973,2020-06-13,"Yellowstone National Park, Alta, WY, US",44.55738333,-110.39846167,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11974,2020-06-18,"Half Dome, Yosemite National Park, CA, US",37.7320894786,-119.5581489523,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11975,2020-06-18,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.3938033671,-105.8449418932,Colorado,Cervus canadensis,Wapiti,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11976,2020-06-18,"Pinnacles National Park, Paicines, CA, US",36.49783333,-121.15356383,California,Sus scrofa,Wild Boar,Mammalia,Pinnacles National Park,CA,Pinnacles ,Pinnacles NP
11977,2020-06-18,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.3995389023,-105.84453415760001,Colorado,Mammalia,Mammals,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11978,2020-06-19,"Yosemite National Park, Mariposa County, US-CA, US",37.4999247585,-119.61445438690001,California,Neotamias,Western Chipmunks,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11979,2020-06-10,"Joshua Tree National Park, Desert Hot Springs, CA, US",34.0234866422,-116.1562735343,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Joshua Tree National Park,CA,Joshua Tree ,Joshua Tree NP
11980,2020-02-28,"Hawai‘i Volcanoes National Park, HI, US",19.37160333,-155.229705,Hawaii,Sus scrofa,Wild Boar,Mammalia,Hawaii Volcanoes National Park,HI,Hawaii Volcanoes ,Hawaii Volcanoes NP
11981,2020-06-10,"Joshua Tree National Park, Desert Hot Springs, CA, US",34.014986698499996,-116.0658220216,California,Ammospermophilus leucurus,White-tailed Antelope Squirrel,Mammalia,Joshua Tree National Park,CA,Joshua Tree ,Joshua Tree NP
11982,2020-06-19,"Yellowstone National Park, Cody, WY, US",44.977848013,-110.6986135059,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11983,2020-06-17,"Grand Teton National Park, Jackson, WY, US",43.6491865258,-110.7517941737,Wyoming,Alces alces,Moose,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11984,2020-06-16,"Grand Teton National Park, Teton County, US-WY, US",43.873840273,-110.65777004969999,Wyoming,Bison bison,American Bison,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11985,2020-06-16,"Grand Teton National Park, Teton County, US-WY, US",43.9527093954,-110.76213099969999,Wyoming,Ursus arctos,Brown Bear,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11986,2020-06-16,"Grand Teton National Park, Alta, WY, US",43.8665833222,-110.6859387183,Wyoming,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11987,2020-06-15,"Yellowstone National Park, Park County, US-WY, US",44.4930257489,-110.30369783350001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11988,2020-06-16,"Yellowstone National Park, Park County, US-WY, US",44.477709518999994,-110.23216845040001,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11989,2020-06-16,"Yellowstone National Park, Cody, WY, US",44.72106167,-110.49701667,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11990,2020-06-19,"Yosemite National Park, Yosemite National Park, CA, US",37.7592333009,-119.8051895543,California,Odocoileus hemionus,Mule Deer,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11991,2020-06-19,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.780499965,-121.8862228935,Washington,Ursus americanus,American Black Bear,Mammalia,Mount Rainier National Park,WA,Mount Rainier ,Mount Rainier NP
11992,2020-06-19,"Mount Rainier National Park, Ashford, WA, US",46.78404667,-121.887405,Washington,Ursus americanus,American Black Bear,Mammalia,Mount Rainier National Park,WA,Mount Rainier ,Mount Rainier NP
11993,2020-06-17,"Yosemite National Park, Yosemite National Park, CA, US",37.793241440900005,-119.3295812232,California,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
